Company,Debt collection,Mortgage,Credit reporting,Credit card,Bank account or service,Consumer loan,Student loan,Payday loan
AES/PHEAA,0,0,0,0,0,0,346,0
Ally Financial Inc.,0,0,0,4,105,116,0,0
Amex,0,2,1,972,27,0,0,0
Bank of America,0,12222,9,2254,2041,127,28,0
Barclays,0,1,0,518,7,2,0,0
"Bayview Loan Servicing, LLC",0,101,0,0,0,0,1,0
BB&T Financial,0,157,0,26,184,18,0,0
Capital One,0,215,9,3314,443,158,1,0
Citibank,0,1848,6,3228,357,88,225,0
Discover,0,3,0,780,35,4,81,0
Encore Capital Group,0,0,0,0,0,0,0,0
"Enhanced Recovery Company, LLC",0,0,0,0,0,0,0,0
Equifax,0,5,616,4,1,1,0,0
Experian,0,3,720,4,2,1,0,0
"Expert Global Solutions, Inc.",0,0,0,0,0,0,0,0
Fifth Third Bank,0,255,0,95,225,53,0,0
Flagstar Bank,0,469,0,0,15,1,0,0
GE Capital Retail,0,8,2,1289,72,50,0,0
"Green Tree Servicing, LLC",0,828,0,0,1,2,0,0
HSBC,0,910,1,86,237,46,1,0
JPMorgan Chase,0,3903,4,2168,1323,134,162,0
KeyBank NA,0,59,0,3,140,15,119,0
M&T Bank,0,272,0,17,132,29,0,0
Nationstar Mortgage,0,955,0,0,0,0,0,0
Navient,0,0,0,0,1,4,1206,0
Navy FCU,0,85,0,36,72,25,0,0
Ocwen,0,3814,0,1,5,3,0,0
OneWest Bank,0,413,1,0,23,0,0,0
PayPal,0,0,0,0,0,0,0,0
PHH Mortgage,0,272,0,0,0,0,0,0
PNC Bank,0,686,1,93,597,46,12,0
"Portfolio Recovery Associates, Inc.",0,0,0,0,0,0,0,0
RBS Citizens,0,256,1,58,438,40,24,0
Regions,0,103,0,46,284,15,0,0
Resurgent Capital Services L.P.,0,7,0,9,0,0,0,0
Santander Bank US,0,136,0,7,272,24,0,0
Santander Consumer USA,0,3,1,2,1,140,0,0
"Select Portfolio Servicing, Inc",0,262,0,0,0,0,0,0
Seterus,0,342,0,0,1,0,0,0
Specialized Loan Servicing LLC,0,184,0,0,1,0,0,0
SunTrust Bank,0,740,2,43,326,27,12,0
TD Bank,0,156,0,61,483,43,1,0
TransUnion,0,0,468,0,0,0,0,0
USAA Savings,0,95,1,123,128,16,0,0
U.S. Bancorp,0,676,3,344,482,69,26,0
Wells Fargo,0,6175,5,703,2277,376,214,0
